MARCA;MODELO;CC;MM DATA;ABS;MODELO con ABS;Año;KM;Coste;PVP;Margen;Matrícula;Model_id;Fecha
HONDA;CRF AFRICA TWIN 1000;998;CRF 1000 L AFRICA TWIN;NO;CRF AFRICA TWIN 1000 ;2018;54400;8045.00;10040.00;1995.00;9735KKT;deb620c0-a5bf-4051-8256-1c014e92af79;26/04/2024
HONDA;CRF AFRICA TWIN 1000;998;CRF 1000 L AFRICA TWIN;NO;CRF AFRICA TWIN 1000 ;2017;6544;10290.00;10040.00;-250.00;8757LGS;deb620c0-a5bf-4051-8256-1c014e92af79;19/07/2024
SUZUKI;GSX-R 1000;1000;GSX-R 1000;NO;GSX-R 1000 ;2015;28681;9000.00;10040.00;1040.00;8767JFJ;67aa0573-fd94-4749-8baa-48a7f208e4ea;31/07/2024
YAMAHA;T-MAX 560;560;T-MAX 560;NO;T-MAX 560 ;2020;25586;9000.00;10040.00;1040.00;4051LHH;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;27/05/2024
YAMAHA;TRACER 900;900;TRACER 900;NO;TRACER 900 ;2020;15860;9000.00;10040.00;1040.00;4386LHN;74fb6c7b-b67c-4d0b-b0ac-963c1e7e4a93;30/05/2024
SUZUKI;V-STROM 1050;1037;V-STROM 1050;;;2021;21605;8500.00;10049.00;1549.00;5515LNN;5ec49a39-3747-493d-b25e-d2910ea7e7ea;17/10/2024
KTM;SUPER DUKE 1290;1301;1290 SUPER DUKE;;;2018;25893;8700.00;10050.00;1350.00;9984KRR;27a6e9f4-a84d-431c-aa51-84501d8ac778;27/08/2024
BMW;R 1200 GS;1200;R1200GS ADVENTURE;NO;R 1200 GS ;2008;66000;7500.00;10080.00;2580.00;6751GBC;94850003-2ea8-428a-b60e-7e9b3926a4a5;08/03/2023
BMW;R 1200 RS;1200;R 1200 RS;NO;R 1200 RS ;2015;30000;9200.00;10090.00;890.00;2587JJV;08b55f6a-70cc-4400-857d-aa3dcb388273;09/05/2023
BMW;R NINE T;1170;R NINET ABS;ABS;R NINE T ABS;2017;11802;9000.00;10090.00;1090.00;3863JLD;f8585d56-b642-4b8d-a63d-426a6bba013a;07/07/2023
TRIUMPH;STREET TRIPLE 765;765;STREET TRIPLE RS;NO;STREET TRIPLE 765 ;2021;7678;9350.00;10090.00;740.00;1747LRS;867a2927-63d8-4a7c-8d20-75e1c9e6438c;03/02/2023
YAMAHA;T-MAX 560;560;T-MAX 560 2020;NO;T-MAX 560 ;2020;25000;9000.00;10090.00;1090.00;9748LHT;7acabccd-e5d7-429c-a5a2-b9a7a19b3e59;31/10/2023
BMW;R 1200 RT;1170;R 1200 RT;;;2011;30146;8000.00;10099.00;2099.00;6003HCD;0c3ff9e3-9dfe-4cdc-86c5-489f9129b072;24/10/2024
KAWASAKI;VERSYS 1000;1000;VERSYS 1000;NO;VERSYS 1000 ;2019;31700;9000.00;10100.00;1100.00;4464KWC;26a56205-7375-4740-b722-9c55f1fdf5e3;11/08/2022
TRIUMPH;TIGER 1200;1200;TIGER 1200;NO;TIGER 1200 ;2017;52988;9000.00;10100.00;1100.00;4721JWB;7a622831-3a93-4f15-b096-5148d9ed8b43;17/01/2024
YAMAHA;MT 09 SP;890;MT 09 SP;NO;MT 09 SP ;2018;31485;8400.00;10100.00;1700.00;0669KLK;48bff86f-b7db-4a4f-a6a3-e33ce540952d;12/07/2022
YAMAHA;TENERE 700;700;TENERE RALLY;NO;TENERE 700 ;2021;15238;9000.00;10100.00;1100.00;4061LSH;a7527a89-a55d-42c8-955c-420209d14143;08/02/2023
BMW;R NINE T;1170;R NINET;;;2021;2499;7938.00;10115.70;2177.70;4666LRH;f8585d56-b642-4b8d-a63d-426a6bba013a;07/10/2024
KTM;DUKE 890;890;890 DUKE R;NO;DUKE 890 ;2020;14000;7851.00;10118.00;2266.00;5726LJS;b7ad17a0-f2b9-432e-b9ef-c4100ab677f0;30/06/2022
HONDA;CRF AFRICA TWIN 1000;1000;CRF 1000 L AFRICA TWIN DCT ;NO;CRF AFRICA TWIN 1000 ;2017;30000;8800.00;10150.00;1350.00;2352KBT;be9ca6ff-be29-4f29-ade2-8100d93ba667;19/12/2023
